Name,Date,Location,Type,Region
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024|Frye Art Museum,1/27/2024 through 5/5/2024,Museums,Capitol Hill / Central District
Kazu Kibuishi with Donna Barba Higuera,2/6/2024|Town Hall Seattle,2/6/2024,Readings & Lectures,Downtown
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing|Wing Luke Museum,Ongoing,Museums,International District
Seattle Kraken vs. Winnipeg Jets,3/8/2024|Climate Pledge Arena,3/8/2024,Sports,Queen Anne / Seattle Center
Small Island Big Song,2/24/2024|Meany Center for the Performing Arts,2/24/2024,Music,University District
Savor Seattle Signature Tour: Pike Place Market,Ongoing|Pike Place Market,Ongoing,Tours & Attractions,Downtown
Untold Stories: World War II at 75,Ongoing|The Museum of Flight,Ongoing,Museums,South Seattle
Great Hall of Washington History,Ongoing|Washington State History Museum,Ongoing,Museums,South
Bohemia,Now through 1/28/2024|The Triple Door,Now through 1/28/2024,Theatre,Downtown
Cheryl Wheeler,1/30/2024|The Triple Door,1/30/2024,Music,Downtown
Gov’t Mule,2/9/2024|The Moore Theatre,2/9/2024,Music,Downtown
Sanctuary City,3/1/2024 through 3/31/2024|Seattle Rep,3/1/2024 through 3/31/2024,Theatre,Queen Anne / Seattle Center
Positive Fragmentation,Now through 3/10/2024|Bellevue Arts Museum,Now through 3/10/2024,Museums,Bellevue / Eastside
Seattle Kraken vs. St. Louis Blues,1/26/2024|Climate Pledge Arena,1/26/2024,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Dallas Stars,3/30/2024|Climate Pledge Arena,3/30/2024,Sports,Queen Anne / Seattle Center
Barber Violin Concerto,5/16/2024 through 5/18/2024|Benaroya Hall,5/16/2024 through 5/18/2024,Music,Downtown
Washington: My Home,Ongoing|Washington State History Museum,Ongoing,Museums,South
Not Available,with David Ardila,share,Not Available,Not Available
Discover Ancient Coast Salish Culture,Ongoing|Hibulb Cultural Center,Ongoing,Museums,North
Quixote Nuevo,Now through 2/11/2024|Seattle Rep,Now through 2/11/2024,Theatre,Queen Anne / Seattle Center
Sophia Al-Maria,Now through 1/31/2024|Henry Art Gallery,Now through 1/31/2024,Museums,University District
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024|accesso ShoWare Center,1/27/2024,Sports,South
Chihuly Garden and Glass,Ongoing|Chihuly Garden and Glass,Ongoing,Museums,Queen Anne / Seattle Center
Guitar Gallery,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center
Not Available,Top Results,,Not Available,Not Available
Antonio M. Gomez: LINEAJES,Now through 3/10/2024|Frye Art Museum,Now through 3/10/2024,Museums,Capitol Hill / Central District
Deb Perelman,1/25/2024|Town Hall Seattle,1/25/2024,Readings & Lectures,Downtown
Sensory-Friendly Programs,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Festivals & Special Events,Queen Anne / Seattle Center
Madeline Pendleton,1/25/2024|Elliott Bay Book Company,1/25/2024,Readings & Lectures,Capitol Hill / Central District
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024|Marion Oliver McCaw Hall,2/2/2024 through 2/11/2024,Dance,Queen Anne / Seattle Center
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024|Benaroya Hall,2/8/2024 through 2/10/2024,Music,Downtown
Seattle Kraken vs. Arizona Coyotes,4/9/2024|Climate Pledge Arena,4/9/2024,Sports,Queen Anne / Seattle Center
Tacoma Stars vs. San Diego Sockers,1/28/2024|accesso ShoWare Center,1/28/2024,Sports,South
A/political Rocks,Now through 1/31/2024|Henry Art Gallery,Now through 1/31/2024,Museums,University District
Not Available,Top Results,,Not Available,Not Available
Mayer Hawthorne,2/9/2024|The Neptune Theatre,2/9/2024,Music,University District
Kenny Barron Trio,2/6/2024 through 2/7/2024|Dimitriou's Jazz Alley,2/6/2024 through 2/7/2024,Music,Downtown
K. Wayne Yang,2/13/2024|Town Hall Seattle,2/13/2024,Readings & Lectures,Downtown
Sibelius & Nielsen,3/14/2024 through 3/16/2024|Benaroya Hall,3/14/2024 through 3/16/2024,Music,Downtown
John Grade: Middle Fork,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown
Barry Can’t Swim,2/9/2024|Neumos,2/9/2024,Music,Capitol Hill / Central District
Not Available,Not Available,Not Available,Not Available,Not Available
Unriveled,5/10/2024 through 6/2/2024|Seattle Public Theater,5/10/2024 through 6/2/2024,Theatre,Wallingford / Greenlake
Show Me Seattle Tours,"Ongoing|Seattle, WA",Ongoing,Tours & Attractions,Downtown
Not Available,Top Results,,Not Available,Not Available
Not Available,"with Zen Selekta, So Sus",share,Not Available,Not Available
Places to Call Home: Settlements in the West,Now through 3/17/2024|Tacoma Art Museum,Now through 3/17/2024,Museums,South
Calidore Quartet & Abeo Quartet,3/8/2024|415 Westlake,3/8/2024,Music,Queen Anne / Seattle Center
Seattle Kraken vs. Detroit Red Wings,2/19/2024|Climate Pledge Arena,2/19/2024,Sports,Queen Anne / Seattle Center
Luchadora!,2/22/2024 through 3/10/2024|Seattle Children's Theatre,2/22/2024 through 3/10/2024,Theatre,Queen Anne / Seattle Center
Nora En Pure,2/2/2024|Showbox SoDo,2/2/2024,Music,Pioneer Square
Fossils Uncovered,Ongoing|Burke Museum,Ongoing,Museums,University District
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024|National Nordic Museum,3/22/2024 through 7/21/2024,Museums,Fremont / Ballard
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Top Results,,Not Available,Not Available
Be/longing: Contemporary Asian Art,Ongoing|Seattle Asian Art Museum,Ongoing,Museums,Capitol Hill / Central District
Company,6/23/2024 through 6/28/2024|The Paramount Theatre,6/23/2024 through 6/28/2024,Music,Downtown
Seattle Museum Month,2/1/2024 through 2/29/2024|Downtown Seattle,2/1/2024 through 2/29/2024,Museums,Downtown
Capitol Hill Farmers Market – Sunday,Ongoing|Capitol Hill Farmers Market,Ongoing,Festivals & Special Events,Capitol Hill / Central District
Opera Talk: The Making of X,2/23/2024|Opera Center,2/23/2024,Readings & Lectures,Queen Anne / Seattle Center
Soren Solkaer: Sort Sol,Now through 3/10/2024|National Nordic Museum,Now through 3/10/2024,Museums,Fremont / Ballard
Not Available,Not Available,Not Available,Not Available,Not Available
Giant Pacific Octopus,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024|Marion Oliver McCaw Hall,2/24/2024 through 3/9/2024,Music,Queen Anne / Seattle Center
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024|Benaroya Hall,2/14/2024 through 2/18/2024,Music,Downtown
Fremont Sunday Market,Ongoing|Fremont Farmers Market,Ongoing,Festivals & Special Events,Fremont / Ballard
Antarctic Symphony,4/25/2024 through 4/28/2024|Benaroya Hall,4/25/2024 through 4/28/2024,Music,Downtown
Mahler Symphony No. 3,4/11/2024 through 4/14/2024|Benaroya Hall,4/11/2024 through 4/14/2024,Music,Downtown
Randy Rainbow for President,2/3/2024|The Paramount Theatre,2/3/2024,Theatre,Downtown
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024|National Nordic Museum,Now through 4/7/2024,Museums,Fremont / Ballard
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024|Climate Pledge Arena,2/29/2024,Sports,Queen Anne / Seattle Center
Not Available,Top Results,,Not Available,Not Available
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024|Benaroya Hall,5/12/2024 through 5/14/2024,Readings & Lectures,Downtown
Not Available,Top Results,,Not Available,Not Available
American Art: The Stories We Carry,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024|Benaroya Hall,2/2/2024 through 2/3/2024,Music,Downtown
Illuminate: Glass Art for Early Learners,Now through 3/31/2024|Museum of Glass,Now through 3/31/2024,Museums,South
The Delta Bombers,2/3/2024|El Corazon,2/3/2024,Music,Downtown
Not Available,Top Results,,Not Available,Not Available
Scott Bradlee’s Postmodern Jukebox,2/11/2024|The Paramount Theatre,2/11/2024,Music,Downtown
Not Available,Top Results,,Not Available,Not Available
Seattle Kraken vs. Edmonton Oilers,3/2/2024|Climate Pledge Arena,3/2/2024,Sports,Queen Anne / Seattle Center
Not Available,Top Results,,Not Available,Not Available
The Temptations &  The Four Tops,2/10/2024|The Paramount Theatre,2/10/2024,Music,Downtown
Family Day with Birds Connect Seattle,1/28/2024|National Nordic Museum,1/28/2024,Museums,Fremont / Ballard
Seattle Kraken vs. Anaheim Ducks,3/26/2024|Climate Pledge Arena,3/26/2024,Sports,Queen Anne / Seattle Center
Honoring Our Journey,Ongoing|Wing Luke Museum,Ongoing,Museums,International District
Taylor Raven and Duke Kim in Recital,4/4/2024|Opera Center,4/4/2024,Music,Queen Anne / Seattle Center
From Mozart to Matthews,2/20/2024|Benaroya Hall,2/20/2024,Music,Downtown
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024|Benaroya Hall,3/21/2024 through 3/24/2024,Music,Downtown
Frye Salon,Now through 10/27/2024|Frye Art Museum,Now through 10/27/2024,Museums,Capitol Hill / Central District
Kelly Akashi,Now through 2/24/2024|Henry Art Gallery,Now through 2/24/2024,Museums,University District
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing|Museum of Glass,Ongoing,Museums,South
Seattle Kraken vs. Anaheim Ducks,3/28/2024|Climate Pledge Arena,3/28/2024,Sports,Queen Anne / Seattle Center
Los Lobos,1/31/2024|The Triple Door,1/31/2024,Music,Downtown
Maddie Zahm,2/15/2024|The Neptune Theatre,2/15/2024,Music,University District
Seattle Kraken vs. Buffalo Sabres,3/18/2024|Climate Pledge Arena,3/18/2024,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Washington Capitals,3/14/2024|Climate Pledge Arena,3/14/2024,Sports,Queen Anne / Seattle Center
SeattleEvents,Super Diamond – The Neil Diamond Tribute Band,,Not Available,Not Available
The Lion Tells His Tale,5/1/2024 through 5/5/2024|Broadway Performance Hall,5/1/2024 through 5/5/2024,Theatre,Capitol Hill / Central District
Copland Appalachian Spring,4/4/2024 through 4/6/2024|Benaroya Hall,4/4/2024 through 4/6/2024,Music,Downtown
Boundless: Stories of Asian Art,Ongoing|Seattle Asian Art Museum,Ongoing,Museums,Capitol Hill / Central District
Disney’s Aladdin,4/24/2024 through 4/28/2024|The Paramount Theatre,4/24/2024 through 4/28/2024,Theatre,Downtown
Helene Grimaud,3/9/2024|Meany Center for the Performing Arts,3/9/2024,Music,University District
Not Available,Top Results,,Not Available,Not Available
Super Diamond – The Neil Diamond Tribute Band,1/26/2024|The Showbox,1/26/2024,Music,Downtown
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024|accesso ShoWare Center,1/30/2024,Sports,South
The Thorn,2/8/2024 through 2/9/2024|The Paramount Theatre,2/8/2024 through 2/9/2024,Theatre,Downtown
One Thousand Pieces,3/15/2024 through 3/24/2024|Marion Oliver McCaw Hall,3/15/2024 through 3/24/2024,Dance,Queen Anne / Seattle Center
Art and Transformation,2/8/2024|Bainbridge Island Museum of Art,2/8/2024,Readings & Lectures,West
Tacoma Stars vs. Monterrey Flash,2/2/2024|accesso ShoWare Center,2/2/2024,Sports,South
Tourist and Amtrac,2/11/2024|The Showbox,2/11/2024,Music,Downtown
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024|Benaroya Hall,4/18/2024 through 4/20/2024,Music,Downtown
Art by Design,2/9/2024 through 2/10/2024|Seattle Design Center,2/9/2024 through 2/10/2024,Visual Arts & Galleries,Downtown
Mister Blank,2/8/2024|Nectar Lounge,2/8/2024,Music,Fremont / Ballard
The Moors,3/22/2024 through 4/14/2024|Seattle Public Theater,3/22/2024 through 4/14/2024,Theatre,Wallingford / Greenlake
The Disorderlies,1/26/2024|Slim's Last Chance,1/26/2024,Music,South Seattle
Wintergrass Music Festival,2/22/2024 through 2/25/2024|Hyatt Regency Bellevue,2/22/2024 through 2/25/2024,Festivals & Special Events,Bellevue / Eastside
Not Available,Top Results,,Not Available,Not Available
True Northwest: The Seattle Journey,Ongoing|Museum of History & Industry,Ongoing,Museums,Queen Anne / Seattle Center
Love at the Zoo,2/10/2024 through 2/11/2024|Point Defiance Zoo and Aquarium,2/10/2024 through 2/11/2024,Festivals & Special Events,South
Spring Awakening,6/7/2024 through 6/30/2024|The 5th Avenue Theatre,6/7/2024 through 6/30/2024,Theatre,Downtown
Seattle Kraken vs. Vegas Golden Knights,3/12/2024|Climate Pledge Arena,3/12/2024,Sports,Queen Anne / Seattle Center
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024|accesso ShoWare Center,3/15/2024 through 3/16/2024,Sports,South
Andy Coe Band,1/26/2024 through 1/27/2024|Nectar Lounge,1/26/2024 through 1/27/2024,Music,Fremont / Ballard
Not Available,Not Available,Not Available,Not Available,Not Available
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024|Tacoma Art Museum,Now through 11/17/2024,Museums,South
Pakt,2/1/2024|Funhouse,2/1/2024,Music,Capitol Hill / Central District
Dark Star Orchestra,2/9/2024|The Showbox,2/9/2024,Music,Downtown
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing|Washington State History Museum,Ongoing,Museums,South
Chase Rice,2/10/2024|Showbox SoDo,2/10/2024,Music,Pioneer Square
Broadway Spectacular,5/4/2024|Cornish Playhouse at Seattle Center,5/4/2024,Music,Queen Anne / Seattle Center
Not Available,Not Available,Not Available,Not Available,Not Available
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026|Bellevue Arts Museum,2/2/2024 through 4/26/2026,Museums,Bellevue / Eastside
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024|Climate Pledge Arena,1/28/2024,Sports,Queen Anne / Seattle Center
Science Fiction and Fantasy Hall of Fame,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center
OBOE / OBOE,2/9/2024|415 Westlake,2/9/2024,Music,Queen Anne / Seattle Center
Not Available,Top Results,,Not Available,Not Available
Calendar,Not Available,Not Available,Not Available,Not Available
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024|Seattle Art Museum,Now through 6/16/2024,Museums,Downtown
October London,1/25/2024|The Showbox,1/25/2024,Music,Downtown
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024|On The Boards,2/1/2024 through 2/3/2024,Theatre,Queen Anne / Seattle Center
Stew,3/15/2024 through 3/31/2024|ACT Theatre,3/15/2024 through 3/31/2024,Theatre,Downtown
Neck Deep,2/5/2024|Showbox SoDo,2/5/2024,Music,Pioneer Square
Futurebirds and Nude Party,2/8/2024|The Neptune Theatre,2/8/2024,Music,University District
Raul de Nieves,Now through 9/30/2024|Henry Art Gallery,Now through 9/30/2024,Museums,University District
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024|Benaroya Hall,2/21/2024,Music,Downtown
Tacoma Stars vs. Harrisburg Heat,3/3/2024|accesso ShoWare Center,3/3/2024,Music,South
Not Available,Top Results,,Not Available,Not Available
75 Years of Porsche,Ongoing|LeMay - America's Car Museum,Ongoing,Museums,South
JP Saxe,1/31/2024|The Showbox,1/31/2024,Music,Downtown
Night Lovell,2/6/2024|The Showbox,2/6/2024,Music,Downtown
Giantish,1/30/2024|High Dive,1/30/2024,Music,Fremont / Ballard
"Together Again, Again!",5/31/2024 through 6/23/2024|Seattle Rep,5/31/2024 through 6/23/2024,Theatre,Queen Anne / Seattle Center
Not Available,Top Results,,Not Available,Not Available
The Barber of Seville,5/4/2024 through 5/24/2024|Marion Oliver McCaw Hall,5/4/2024 through 5/24/2024,Music,Queen Anne / Seattle Center
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024|Marion Oliver McCaw Hall,5/31/2024 through 6/9/2024,Dance,Queen Anne / Seattle Center
Clue,7/9/2024 through 7/21/2024|The 5th Avenue Theatre,7/9/2024 through 7/21/2024,Theatre,Downtown
Cory Wong Winter 2024 Tour,2/16/2024|The Paramount Theatre,2/16/2024,Music,Downtown
Winter Brilliance,Now through 2/29/2024|Chihuly Garden and Glass,Now through 2/29/2024,Museums,Queen Anne / Seattle Center
Winter in the West,Ongoing|Tacoma Art Museum,Ongoing,Museums,South
Not Available,Top Results,,Not Available,Not Available
The Lehman Trilogy,4/26/2024 through 5/12/2024|ACT Theatre,4/26/2024 through 5/12/2024,Theatre,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Noah Geller’s Playlist,5/3/2024 through 5/4/2024|Benaroya Hall,5/3/2024 through 5/4/2024,Music,Downtown
Harlem Globetrotters 2024 World Tour –,1/26/2024|accesso ShoWare Center,1/26/2024,Sports,South
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024|National Nordic Museum,2/18/2024,Museums,Fremont / Ballard
Bach St. John Passion,3/7/2024 through 3/9/2024|Benaroya Hall,3/7/2024 through 3/9/2024,Music,Downtown
Not Available,with Justin Nozuka,share,Not Available,Not Available
Not Available,With The Paranoyds,share,Not Available,Not Available
Not Available,Top Results,,Not Available,Not Available
Lil Skies,2/4/2024|The Showbox,2/4/2024,Music,Downtown
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024|Meany Center for the Performing Arts,3/14/2024 through 3/16/2024,Music,University District
Not Available,Not Available,Not Available,Not Available,Not Available
The Kills,2/7/2024|Showbox SoDo,2/7/2024,Music,Pioneer Square
Seattle Kraken vs. Boston Bruins,2/26/2024|Climate Pledge Arena,2/26/2024,Sports,Queen Anne / Seattle Center
